idna_subject,checker_type,destination,tested_at
222.186.56.87,AVAILABILITY,domains.list,2023-12-06 03:59:12.643063
217.182.86.114,AVAILABILITY,domains.list,2023-12-06 03:59:23.036946
185.13.38.222,AVAILABILITY,domains.list,2023-12-06 03:59:42.011989
117.248.137.57,AVAILABILITY,domains.list,2023-12-06 03:59:53.329614
203.129.224.86,AVAILABILITY,domains.list,2023-12-06 04:00:06.314754
212.45.1.10,AVAILABILITY,domains.list,2023-12-06 04:00:17.363634
216.218.147.196,AVAILABILITY,domains.list,2023-12-06 04:00:27.573112
212.91.171.178,AVAILABILITY,domains.list,2023-12-06 04:00:38.330912
217.182.63.22,AVAILABILITY,domains.list,2023-12-06 04:00:39.245077
216.123.161.169,AVAILABILITY,domains.list,2023-12-06 04:00:49.653220
211.147.255.42,AVAILABILITY,domains.list,2023-12-06 04:01:18.548008
217.6.151.89,AVAILABILITY,domains.list,2023-12-06 04:01:29.465418
218.87.109.253,AVAILABILITY,domains.list,2023-12-06 04:01:48.206669
218.25.208.90,AVAILABILITY,domains.list,2023-12-06 04:01:59.679393
218.4.117.26,AVAILABILITY,domains.list,2023-12-06 04:02:12.731859
218.87.109.60,AVAILABILITY,domains.list,2023-12-06 04:02:31.064485
218.158.47.3,AVAILABILITY,domains.list,2023-12-06 04:02:42.365604
219.251.4.92,AVAILABILITY,domains.list,2023-12-06 04:02:53.777201
219.138.116.130,AVAILABILITY,domains.list,2023-12-06 04:03:07.420476
115.29.226.207,AVAILABILITY,domains.list,2023-12-06 04:03:19.144569
158.69.148.206,AVAILABILITY,domains.list,2023-12-06 04:03:29.606682
31.207.47.36,AVAILABILITY,domains.list,2023-12-06 04:03:40.450791
27.255.67.21,AVAILABILITY,domains.list,2023-12-06 04:03:52.438747
167.160.162.191,AVAILABILITY,domains.list,2023-12-06 04:04:03.103060
89.40.70.219,AVAILABILITY,domains.list,2023-12-06 04:04:13.479658
112.65.205.194,AVAILABILITY,domains.list,2023-12-06 04:04:17.131689
59.49.129.247,AVAILABILITY,domains.list,2023-12-06 04:04:35.335026
152.149.59.146,AVAILABILITY,domains.list,2023-12-06 04:04:47.568003
218.87.111.116,AVAILABILITY,domains.list,2023-12-06 04:05:04.707577
219.143.69.56,AVAILABILITY,domains.list,2023-12-06 04:05:18.367142
221.203.3.102,AVAILABILITY,domains.list,2023-12-06 04:05:36.495417
221.203.142.70,AVAILABILITY,domains.list,2023-12-06 04:05:53.277740
221.229.166.98,AVAILABILITY,domains.list,2023-12-06 04:06:04.387871
221.229.166.101,AVAILABILITY,domains.list,2023-12-06 04:06:20.248444
221.229.172.66,AVAILABILITY,domains.list,2023-12-06 04:06:31.263385
221.203.142.133,AVAILABILITY,domains.list,2023-12-06 04:06:46.538418
221.229.172.111,AVAILABILITY,domains.list,2023-12-06 04:06:57.581834
221.235.189.176,AVAILABILITY,domains.list,2023-12-06 04:07:16.841955
222.60.95.243,AVAILABILITY,domains.list,2023-12-06 04:07:27.548157
222.186.21.31,AVAILABILITY,domains.list,2023-12-06 04:07:29.031292
222.186.21.61,AVAILABILITY,domains.list,2023-12-06 04:07:40.199048
222.186.3.184,AVAILABILITY,domains.list,2023-12-06 04:07:51.216645
222.186.55.169,AVAILABILITY,domains.list,2023-12-06 04:08:02.232785
222.190.105.10,AVAILABILITY,domains.list,2023-12-06 04:08:13.378725
222.187.198.50,AVAILABILITY,domains.list,2023-12-06 04:08:24.445033
222.186.129.234,AVAILABILITY,domains.list,2023-12-06 04:08:35.481095
223.95.116.176,AVAILABILITY,domains.list,2023-12-06 04:09:03.859207
223.105.0.184,AVAILABILITY,domains.list,2023-12-06 04:09:20.724208
223.99.167.27,AVAILABILITY,domains.list,2023-12-06 04:09:41.601658
223.99.167.115,AVAILABILITY,domains.list,2023-12-06 04:10:07.472831
167.114.241.241,AVAILABILITY,domains.list,2023-12-06 04:10:18.009398
159.253.39.245,AVAILABILITY,domains.list,2023-12-06 04:10:28.721479
107.167.109.214,AVAILABILITY,domains.list,2023-12-08 02:28:59.233266
192.241.196.210,AVAILABILITY,domains.list,2023-12-08 02:29:09.650061
217.182.94.153,AVAILABILITY,domains.list,2023-12-08 02:29:20.460267
5.153.233.10,AVAILABILITY,domains.list,2023-12-08 02:29:30.653159
5.101.40.10,AVAILABILITY,domains.list,2023-12-08 02:29:42.391958
5.153.233.34,AVAILABILITY,domains.list,2023-12-08 02:29:52.583197
1.85.21.39,AVAILABILITY,domains.list,2023-12-08 02:30:03.144260
5.153.233.58,AVAILABILITY,domains.list,2023-12-08 02:30:13.339509
5.153.233.50,AVAILABILITY,domains.list,2023-12-08 02:30:13.836389
5.153.233.70,AVAILABILITY,domains.list,2023-12-08 02:30:24.029751
5.153.233.78,AVAILABILITY,domains.list,2023-12-08 02:30:34.302467
5.153.233.114,AVAILABILITY,domains.list,2023-12-08 02:30:34.792819
5.153.233.98,AVAILABILITY,domains.list,2023-12-08 02:30:44.983055
5.153.233.130,AVAILABILITY,domains.list,2023-12-08 02:30:55.194776
13.66.63.216,AVAILABILITY,domains.list,2023-12-08 02:31:05.394948
13.91.53.213,AVAILABILITY,domains.list,2023-12-08 02:31:15.564211
13.65.211.49,AVAILABILITY,domains.list,2023-12-08 02:31:25.803681
14.63.221.184,AVAILABILITY,domains.list,2023-12-08 02:31:37.046757
85.194.110.46,AVAILABILITY,domains.list,2023-12-08 02:31:47.938362
14.102.100.2,AVAILABILITY,domains.list,2023-12-08 02:32:18.069999
13.69.193.20,AVAILABILITY,domains.list,2023-12-08 02:32:31.254494
23.96.203.238,AVAILABILITY,domains.list,2023-12-08 02:32:41.473435
23.110.213.90,AVAILABILITY,domains.list,2023-12-08 02:32:52.188324
23.98.146.21,AVAILABILITY,domains.list,2023-12-08 02:33:02.346114
23.247.107.98,AVAILABILITY,domains.list,2023-12-08 02:33:12.922768
27.255.81.146,AVAILABILITY,domains.list,2023-12-08 02:33:23.802958
27.115.110.69,AVAILABILITY,domains.list,2023-12-08 02:33:35.281922
31.170.160.209,AVAILABILITY,domains.list,2023-12-08 02:33:46.097392
27.255.94.166,AVAILABILITY,domains.list,2023-12-08 02:33:56.976554
37.139.30.163,AVAILABILITY,domains.list,2023-12-08 02:34:07.166080
41.242.115.254,AVAILABILITY,domains.list,2023-12-08 02:34:17.631561
41.58.148.3,AVAILABILITY,domains.list,2023-12-08 02:34:29.648167
41.71.66.4,AVAILABILITY,domains.list,2023-12-08 02:34:32.177517
42.55.136.241,AVAILABILITY,domains.list,2023-12-08 02:34:42.372054
43.229.53.20,AVAILABILITY,domains.list,2023-12-08 02:34:52.646913
42.96.129.215,AVAILABILITY,domains.list,2023-12-08 02:34:53.689386
45.114.11.18,AVAILABILITY,domains.list,2023-12-08 02:35:04.004289
45.42.91.42,AVAILABILITY,domains.list,2023-12-08 02:35:04.467675
46.101.31.58,AVAILABILITY,domains.list,2023-12-08 02:35:05.161389
46.8.45.98,AVAILABILITY,domains.list,2023-12-08 02:35:05.892768
46.219.50.112,AVAILABILITY,domains.list,2023-12-08 02:35:16.739910
46.105.184.242,AVAILABILITY,domains.list,2023-12-08 02:35:27.538362
52.175.25.240,AVAILABILITY,domains.list,2023-12-08 02:35:37.747871
47.146.139.124,AVAILABILITY,domains.list,2023-12-08 02:35:48.314132
58.16.83.211,AVAILABILITY,domains.list,2023-12-08 02:36:16.462081
58.218.199.166,AVAILABILITY,domains.list,2023-12-08 02:36:18.037115
58.117.73.8,AVAILABILITY,domains.list,2023-12-08 02:36:30.210753
58.218.199.96,AVAILABILITY,domains.list,2023-12-08 02:36:36.404715
58.123.71.153,AVAILABILITY,domains.list,2023-12-08 02:36:48.015302
58.218.204.30,AVAILABILITY,domains.list,2023-12-08 02:36:54.191453
58.218.200.5,AVAILABILITY,domains.list,2023-12-08 02:37:04.805857
58.218.204.248,AVAILABILITY,domains.list,2023-12-08 02:37:15.481674
58.218.204.80,AVAILABILITY,domains.list,2023-12-08 02:37:26.386896
58.218.204.211,AVAILABILITY,domains.list,2023-12-08 02:37:27.961090
58.218.205.97,AVAILABILITY,domains.list,2023-12-08 02:37:38.794527
58.218.211.38,AVAILABILITY,domains.list,2023-12-08 02:37:49.477883
58.218.211.166,AVAILABILITY,domains.list,2023-12-08 02:38:00.347638
58.218.205.101,AVAILABILITY,domains.list,2023-12-08 02:38:10.968810
58.218.211.244,AVAILABILITY,domains.list,2023-12-08 02:38:21.783678
58.218.211.198,AVAILABILITY,domains.list,2023-12-08 02:38:32.462767
58.242.3.210,AVAILABILITY,domains.list,2023-12-08 02:38:42.930675
59.45.79.21,AVAILABILITY,domains.list,2023-12-08 02:38:54.184408
59.45.79.40,AVAILABILITY,domains.list,2023-12-08 02:45:52.535808
59.45.79.69,AVAILABILITY,domains.list,2023-12-08 02:46:04.458676
59.63.188.44,AVAILABILITY,domains.list,2023-12-08 02:46:11.550656
59.45.79.36,AVAILABILITY,domains.list,2023-12-08 02:46:26.918315
59.45.79.116,AVAILABILITY,domains.list,2023-12-08 02:46:37.783466
59.63.188.53,AVAILABILITY,domains.list,2023-12-08 02:46:41.011530
61.172.247.180,AVAILABILITY,domains.list,2023-12-08 02:46:55.515964
64.68.50.128,AVAILABILITY,domains.list,2023-12-08 02:47:12.117047
61.187.179.76,AVAILABILITY,domains.list,2023-12-08 02:47:23.574853
68.180.229.178,AVAILABILITY,domains.list,2023-12-08 02:47:44.579539
68.180.229.185,AVAILABILITY,domains.list,2023-12-08 02:48:05.511233
74.208.171.39,AVAILABILITY,domains.list,2023-12-08 02:48:15.798783
84.200.93.172,AVAILABILITY,domains.list,2023-12-08 02:48:26.488299
82.118.236.103,AVAILABILITY,domains.list,2023-12-08 02:48:36.638160
82.165.128.119,AVAILABILITY,domains.list,2023-12-08 02:48:47.028288
82.138.1.118,AVAILABILITY,domains.list,2023-12-08 02:48:48.515493
