idna_subject,checker_type,destination,source,tested_at,session_id
101.200.178.241,AVAILABILITY,domains.list,domains.list,2021-07-16 02:21:24.978382,0f5c9f55f0fb9fe66e15443f
101.201.47.86,AVAILABILITY,domains.list,domains.list,2021-07-16 02:21:25.962639,0f5c9f55f0fb9fe66e15443f
103.19.88.162,AVAILABILITY,domains.list,domains.list,2021-07-16 02:21:27.204645,0f5c9f55f0fb9fe66e15443f
103.196.100.66,AVAILABILITY,domains.list,domains.list,2021-07-16 02:21:39.508782,0f5c9f55f0fb9fe66e15443f
103.217.152.20,AVAILABILITY,domains.list,domains.list,2021-07-16 02:21:39.855700,0f5c9f55f0fb9fe66e15443f
104.149.163.162,AVAILABILITY,domains.list,domains.list,2021-07-16 02:21:40.085197,0f5c9f55f0fb9fe66e15443f
104.197.49.154,AVAILABILITY,domains.list,domains.list,2021-07-16 02:21:40.223426,0f5c9f55f0fb9fe66e15443f
104.199.149.92,AVAILABILITY,domains.list,domains.list,2021-07-16 02:21:40.371975,0f5c9f55f0fb9fe66e15443f
104.243.129.98,AVAILABILITY,domains.list,domains.list,2021-07-16 02:21:50.994523,0f5c9f55f0fb9fe66e15443f
104.5.92.27,AVAILABILITY,domains.list,domains.list,2021-07-16 02:21:51.217191,0f5c9f55f0fb9fe66e15443f
105.228.157.123,AVAILABILITY,domains.list,domains.list,2021-07-16 02:21:51.822011,0f5c9f55f0fb9fe66e15443f
106.51.230.187,AVAILABILITY,domains.list,domains.list,2021-07-16 02:21:52.458678,0f5c9f55f0fb9fe66e15443f
106.75.6.3,AVAILABILITY,domains.list,domains.list,2021-07-16 02:22:04.768346,0f5c9f55f0fb9fe66e15443f
107.150.15.121,AVAILABILITY,domains.list,domains.list,2021-07-16 02:22:04.907958,0f5c9f55f0fb9fe66e15443f
107.167.109.214,AVAILABILITY,domains.list,domains.list,2021-07-16 02:22:05.116399,0f5c9f55f0fb9fe66e15443f
107.167.116.30,AVAILABILITY,domains.list,domains.list,2021-07-16 02:22:05.325461,0f5c9f55f0fb9fe66e15443f
